ID,Name,StudyHours,Attendance,Marks
118,Student_118,2.7,86,58.4
119,Student_119,9.0,74,77.4
120,Student_120,5.9,97,71.6
121,Student_121,8.3,50,65.6
122,Student_122,9.1,95,47.8
123,Student_123,3.9,64,93.2
124,Student_124,2.0,58,67.0
125,Student_125,3.1,64,51.7
126,Student_126,4.8,98,62.1
127,Student_127,8.4,73,64.8
128,Student_128,8.7,53,89.7
129,Student_129,1.1,61,84.0
130,Student_130,5.6,86,86.2
131,Student_131,4.8,86,40.7
132,Student_132,3.0,92,65.0
133,Student_133,2.1,55,68.9
134,Student_134,4.0,88,41.2
135,Student_135,9.5,95,55.6
136,Student_136,3.9,73,85.6
137,Student_137,5.7,60,
138,Student_138,7.3,62,72.1
139,Student_139,4.3,83,52.9
140,Student_140,9.7,74,40.7
141,Student_141,9.7,56,
142,Student_142,3.3,53,98.6
143,Student_143,5.5,57,88.1
144,Student_144,3.7,69,97.6
145,Student_145,3.6,78,69.3
146,Student_146,1.3,100,46.6
147,Student_147,6.5,94,72.9
148,Student_148,5.5,95,67.3
149,Student_149,1.5,59,90.7
150,Student_150,3.5,92,45.9
151,Student_151,9.2,83,69.3
152,Student_152,3.2,75,49.0
153,Student_153,2.3,90,59.5
154,Student_154,5.4,98,84.2
155,Student_155,9.9,52,68.6
156,Student_156,3.2,55,62.6
157,Student_157,7.0,54,
158,Student_158,7.9,54,67.6
159,Student_159,3.1,96,87.1
160,Student_160,7.6,72,93.5
161,Student_161,4.3,98,97.3
162,Student_162,6.7,58,87.2
163,Student_163,6.7,84,58.9
164,Student_164,5.8,69,81.3
165,Student_165,1.8,98,66.3
166,Student_166,8.5,91,55.3
167,Student_167,3.9,84,90.5
168,Student_168,2.7,99,42.3
169,Student_169,1.4,67,94.1
170,Student_170,6.3,66,67.7
171,Student_171,7.1,73,78.2
172,Student_172,1.1,52,79.6
173,Student_173,5.6,81,93.7
174,Student_174,3.0,84,78.2
175,Student_175,6.8,87,
176,Student_176,2.6,62,44.0
177,Student_177,7.2,96,
178,Student_178,4.5,74,49.0
179,Student_179,9.4,58,84.2
180,Student_180,2.2,53,70.7
181,Student_181,4.1,63,80.8
182,Student_182,2.0,86,42.5
183,Student_183,9.3,83,45.1
184,Student_184,8.9,60,83.0
185,Student_185,3.3,90,44.3
186,Student_186,6.9,52,44.3
187,Student_187,8.4,77,40.7
188,Student_188,6.0,78,97.4
189,Student_189,5.8,58,84.3
190,Student_190,3.2,52,61.2
191,Student_191,1.8,74,57.8
192,Student_192,9.1,83,61.0
193,Student_193,9.1,61,86.5
194,Student_194,6.7,91,79.7
195,Student_195,4.1,58,51.1
196,Student_196,4.1,64,50.4
197,Student_197,7.5,89,45.9
198,Student_198,9.1,74,
199,Student_199,9.0,54,85.9
200,Student_200,8.0,60,55.9
201,Student_201,6.8,83,41.3
202,Student_202,1.8,73,44.9
203,Student_203,2.5,64,98.1
204,Student_204,9.1,87,57.7
205,Student_205,6.5,57,86.2
206,Student_206,1.1,54,77.5
207,Student_207,1.9,97,62.9
208,Student_208,7.0,75,52.3
209,Student_209,1.0,67,47.3
210,Student_210,2.4,55,76.9
211,Student_211,5.9,86,86.5
212,Student_212,7.2,97,78.6
213,Student_213,6.9,62,71.8
214,Student_214,3.0,77,42.5
215,Student_215,7.4,54,98.1
216,Student_216,3.1,62,87.9
217,Student_217,3.9,66,57.6
218,Student_218,7.7,99,
219,Student_219,6.8,89,76.1
220,Student_220,8.6,94,74.9
221,Student_221,6.9,81,84.9
222,Student_222,6.1,78,88.7
223,Student_223,1.8,100,79.4
224,Student_224,4.3,52,47.7
225,Student_225,3.4,89,60.3
226,Student_226,3.2,83,95.7
227,Student_227,9.8,89,53.5
228,Student_228,4.5,76,62.3
229,Student_229,9.0,62,65.9
230,Student_230,6.7,94,66.4
231,Student_231,8.2,82,76.8
232,Student_232,5.5,55,96.6
233,Student_233,6.2,73,54.4
234,Student_234,5.4,68,47.3
235,Student_235,2.8,65,
236,Student_236,7.5,89,93.2
237,Student_237,3.5,77,78.7
238,Student_238,1.2,82,57.2
239,Student_239,6.8,97,89.0
240,Student_240,2.6,90,91.7
241,Student_241,9.5,62,90.8
242,Student_242,9.6,92,95.1
243,Student_243,9.2,94,55.1
244,Student_244,4.3,74,85.3
245,Student_245,1.1,91,67.6
246,Student_246,9.4,85,90.5
247,Student_247,4.9,76,83.7
248,Student_248,9.7,87,86.6
249,Student_249,9.7,56,79.4
250,Student_250,8.7,54,50.6
251,Student_251,3.7,92,72.7
252,Student_252,4.5,94,99.1
253,Student_253,8.7,100,96.2
254,Student_254,3.9,80,42.6
255,Student_255,2.5,72,49.9
256,Student_256,6.0,91,47.9
257,Student_257,9.4,59,83.6
258,Student_258,7.3,81,89.1
259,Student_259,6.1,92,52.8
260,Student_260,1.9,79,70.4
261,Student_261,6.5,88,90.4
262,Student_262,9.9,80,84.0
263,Student_263,2.3,67,72.5
264,Student_264,5.7,85,75.4
265,Student_265,8.9,51,70.5
266,Student_266,7.7,63,57.9
267,Student_267,7.3,62,73.9
268,Student_268,7.3,78,81.3
269,Student_269,4.2,61,92.4
270,Student_270,3.6,88,78.2
271,Student_271,8.3,51,85.7
272,Student_272,8.3,81,49.6
273,Student_273,8.8,62,67.7
274,Student_274,9.2,95,40.6
275,Student_275,5.6,76,54.8
276,Student_276,5.5,98,83.6
277,Student_277,8.2,90,99.5
278,Student_278,6.8,66,46.0
279,Student_279,7.3,89,64.1
280,Student_280,8.2,80,88.0
281,Student_281,9.0,83,52.2
282,Student_282,4.0,73,73.3
283,Student_283,4.4,94,84.0
284,Student_284,1.8,84,77.0
285,Student_285,6.2,97,51.3
286,Student_286,1.3,55,61.3
287,Student_287,5.2,68,87.0
288,Student_288,5.9,79,73.3
289,Student_289,3.6,56,40.3
290,Student_290,6.3,59,85.7
291,Student_291,1.3,90,42.1
292,Student_292,1.3,81,84.7
293,Student_293,8.4,83,52.1
294,Student_294,4.2,77,97.5
295,Student_295,2.1,64,62.1
296,Student_296,5.7,79,59.6
297,Student_297,7.9,86,48.9
298,Student_298,2.9,78,58.3
299,Student_299,6.6,71,92.6
300,Student_300,1.8,53,99.8
301,Student_301,1.5,69,62.1
302,Student_302,5.8,81,66.9
303,Student_303,5.9,85,83.3
304,Student_304,6.7,99,93.2
305,Student_305,7.5,53,75.6
306,Student_306,9.8,76,63.5
307,Student_307,5.6,66,64.8
308,Student_308,3.9,61,81.7
309,Student_309,8.2,71,40.2
310,Student_310,3.4,66,77.2
311,Student_311,5.0,59,61.3
312,Student_312,1.7,50,87.7
313,Student_313,1.2,71,45.6
314,Student_314,9.7,75,75.3
315,Student_315,8.5,67,68.9
316,Student_316,7.3,99,78.5
317,Student_317,4.7,63,43.9
318,Student_318,2.6,96,74.8
319,Student_319,2.4,78,73.7
320,Student_320,3.3,61,73.6
321,Student_321,5.9,85,76.2
322,Student_322,7.4,84,80.6
323,Student_323,6.9,61,88.3
324,Student_324,3.5,56,56.2
325,Student_325,9.6,78,89.5
326,Student_326,7.6,60,69.9
327,Student_327,6.0,82,44.6
328,Student_328,6.5,55,43.5
329,Student_329,4.8,96,60.1
330,Student_330,3.2,64,87.1
331,Student_331,4.2,81,82.5
332,Student_332,7.8,100,87.3
333,Student_333,1.1,60,71.0
334,Student_334,2.0,72,66.4
335,Student_335,1.4,75,48.8
336,Student_336,1.4,83,59.7
337,Student_337,8.7,95,66.0
338,Student_338,7.3,83,45.3
339,Student_339,5.3,78,53.2
340,Student_340,1.9,53,75.9
341,Student_341,5.4,66,84.1
342,Student_342,5.3,84,99.9
343,Student_343,2.6,62,96.0
344,Student_344,4.9,90,78.6
345,Student_345,4.6,88,65.3
346,Student_346,6.5,64,78.2
347,Student_347,6.7,78,87.1
348,Student_348,1.4,78,47.1
349,Student_349,4.4,60,64.6
350,Student_350,6.6,81,90.4
351,Student_351,5.5,51,63.0
352,Student_352,8.7,96,74.3
353,Student_353,6.9,63,75.3
354,Student_354,2.5,69,51.1
355,Student_355,1.6,71,61.7
356,Student_356,6.8,60,60.1
357,Student_357,1.2,76,41.6
358,Student_358,6.3,52,41.5
359,Student_359,9.5,66,89.9
360,Student_360,6.2,93,56.4
361,Student_361,4.5,77,71.1
362,Student_362,6.8,78,57.9
363,Student_363,5.1,70,96.4
364,Student_364,5.9,96,55.6
365,Student_365,9.5,65,65.8
366,Student_366,4.5,86,92.4
367,Student_367,9.7,69,90.5
368,Student_368,9.1,55,51.2
369,Student_369,2.8,68,88.2
370,Student_370,1.6,54,67.5
371,Student_371,1.9,52,69.0
372,Student_372,1.2,50,48.0
373,Student_373,1.8,87,44.8
374,Student_374,7.1,64,83.7
375,Student_375,1.6,83,69.8
376,Student_376,3.9,84,66.2
377,Student_377,8.6,98,83.8
378,Student_378,1.2,74,85.9
379,Student_379,8.3,73,49.5
380,Student_380,3.5,61,76.6
381,Student_381,2.1,67,48.1
382,Student_382,7.3,64,85.1
383,Student_383,6.7,93,79.4
384,Student_384,8.9,65,97.4
385,Student_385,7.6,76,44.1
386,Student_386,8.2,57,43.4
387,Student_387,3.5,95,56.9
388,Student_388,2.6,74,55.7
389,Student_389,7.8,66,54.8
390,Student_390,8.3,78,94.4
391,Student_391,9.9,57,55.0
392,Student_392,4.7,64,56.3
393,Student_393,4.3,76,85.6
394,Student_394,8.0,95,67.0
395,Student_395,4.1,99,86.6
396,Student_396,9.4,56,43.9
397,Student_397,8.7,52,69.3
398,Student_398,4.9,78,42.0
399,Student_399,7.8,93,43.8
400,Student_400,7.8,73,94.4
401,Student_401,1.9,52,
402,Student_402,9.1,69,71.9
403,Student_403,5.5,95,64.7
404,Student_404,8.4,64,60.8
405,Student_405,3.9,74,94.0
406,Student_406,9.1,79,41.3
407,Student_407,4.5,63,79.8
408,Student_408,1.1,56,97.8
409,Student_409,9.1,66,73.6
410,Student_410,1.8,93,96.2
411,Student_411,3.9,69,43.1
412,Student_412,9.6,85,65.1
413,Student_413,9.6,58,55.6
414,Student_414,6.2,87,83.8
415,Student_415,6.7,97,98.9
416,Student_416,5.0,71,55.4
417,Student_417,3.6,51,79.3
418,Student_418,4.0,73,51.9
419,Student_419,7.1,57,73.9
420,Student_420,7.8,60,67.8
421,Student_421,8.1,62,
422,Student_422,8.1,66,76.5
423,Student_423,1.8,57,61.0
424,Student_424,5.4,70,46.8
425,Student_425,1.5,67,49.1
426,Student_426,5.9,79,53.5
427,Student_427,5.0,67,55.1
428,Student_428,9.0,95,
429,Student_429,4.2,96,73.7
430,Student_430,2.1,80,71.4
431,Student_431,2.3,87,46.9
432,Student_432,7.9,81,91.6
433,Student_433,6.6,60,83.4
434,Student_434,1.9,94,44.1
435,Student_435,1.8,74,82.5
436,Student_436,7.3,82,72.6
437,Student_437,1.7,87,44.9
438,Student_438,8.4,90,67.5
439,Student_439,7.4,57,69.1
440,Student_440,1.7,60,49.9
441,Student_441,1.8,71,96.7
442,Student_442,9.9,100,91.0
443,Student_443,4.4,73,80.1
444,Student_444,4.3,90,67.7
445,Student_445,8.3,66,64.7
446,Student_446,9.5,61,79.1
447,Student_447,9.9,95,72.7
448,Student_448,7.8,81,43.7
449,Student_449,4.4,64,70.8
450,Student_450,1.8,65,88.4
451,Student_451,8.0,71,67.6
452,Student_452,6.0,77,
453,Student_453,4.8,69,87.2
454,Student_454,9.2,82,52.1
455,Student_455,2.0,59,55.5
456,Student_456,5.4,89,49.9
457,Student_457,1.1,81,59.8
458,Student_458,5.2,99,85.4
459,Student_459,1.5,82,71.2
460,Student_460,2.1,51,52.3
461,Student_461,2.1,82,92.7
462,Student_462,6.8,82,92.8
463,Student_463,7.7,90,92.2
464,Student_464,6.3,62,54.3
465,Student_465,9.7,79,67.1
466,Student_466,4.4,82,99.1
467,Student_467,3.6,62,86.3
468,Student_468,8.8,75,41.6
469,Student_469,3.0,71,43.9
470,Student_470,9.7,88,67.8
471,Student_471,1.1,51,
472,Student_472,9.7,87,72.3
473,Student_473,1.4,88,69.9
474,Student_474,9.0,75,46.3
475,Student_475,5.7,95,79.4
476,Student_476,9.9,99,89.3
477,Student_477,1.7,64,62.8
478,Student_478,6.0,83,86.5
479,Student_479,9.7,91,97.9
480,Student_480,5.7,93,52.2
481,Student_481,6.7,98,71.4
482,Student_482,7.3,89,57.2
483,Student_483,5.1,60,87.6
484,Student_484,6.6,52,74.7
485,Student_485,6.3,55,78.1
486,Student_486,9.1,58,87.9
487,Student_487,1.4,55,63.8
488,Student_488,3.5,58,94.9
489,Student_489,9.6,88,72.0
490,Student_490,9.0,80,49.5
491,Student_491,5.1,81,81.8
492,Student_492,6.6,90,87.6
493,Student_493,3.5,99,59.0
494,Student_494,2.7,61,91.4
495,Student_495,5.2,57,94.4
496,Student_496,4.2,57,56.6
497,Student_497,6.3,99,99.0
498,Student_498,1.7,77,48.4
499,Student_499,9.8,69,52.1
500,Student_500,9.9,96,51.1
501,Student_501,7.3,56,93.6
502,Student_502,5.8,60,79.3
503,Student_503,3.8,69,49.1
504,Student_504,8.3,65,66.4
505,Student_505,7.2,53,76.9
506,Student_506,2.5,55,45.0
507,Student_507,9.2,71,92.9
508,Student_508,8.4,75,88.2
509,Student_509,9.5,52,70.3
510,Student_510,7.5,90,98.0
511,Student_511,6.5,91,65.1
512,Student_512,4.8,63,99.0
513,Student_513,9.4,60,80.1
514,Student_514,8.8,67,78.1
515,Student_515,1.4,61,50.0
516,Student_516,1.2,72,92.9
517,Student_517,4.4,61,65.6
518,Student_518,8.3,62,49.7
519,Student_519,9.9,74,40.8
520,Student_520,2.4,94,73.6
521,Student_521,6.3,100,71.6
522,Student_522,4.4,68,83.2
523,Student_523,9.7,95,
524,Student_524,8.6,85,44.8
525,Student_525,8.5,94,83.9
526,Student_526,5.2,57,51.2
527,Student_527,4.7,78,91.5
528,Student_528,3.5,81,89.1
529,Student_529,1.5,100,72.4
530,Student_530,8.8,93,82.6
531,Student_531,8.3,67,58.9
532,Student_532,10.0,55,68.3
533,Student_533,10.0,67,89.3
534,Student_534,6.0,68,67.6
535,Student_535,7.9,71,61.5
536,Student_536,9.5,86,
537,Student_537,8.6,81,89.7
538,Student_538,3.2,90,60.1
539,Student_539,5.1,52,50.4
540,Student_540,2.2,77,82.7
541,Student_541,9.6,59,89.6
542,Student_542,6.5,100,46.0
543,Student_543,3.1,84,54.4
544,Student_544,7.0,78,48.5
545,Student_545,6.6,64,60.9
546,Student_546,4.2,82,67.0
547,Student_547,2.0,56,84.9
548,Student_548,7.0,61,79.1
549,Student_549,5.7,98,77.3
550,Student_550,8.0,79,61.1
551,Student_551,5.7,70,90.5
552,Student_552,8.7,80,68.3
553,Student_553,6.0,73,98.7
554,Student_554,6.0,69,78.0
555,Student_555,8.9,86,47.6
556,Student_556,4.6,53,80.6
557,Student_557,2.2,77,59.5
558,Student_558,1.3,93,81.2
559,Student_559,7.8,69,44.2
560,Student_560,6.6,73,50.5
561,Student_561,7.3,99,91.3
562,Student_562,2.9,98,53.6
563,Student_563,2.2,100,90.2
564,Student_564,1.1,81,56.8
565,Student_565,4.2,90,78.6
566,Student_566,6.3,85,81.6
567,Student_567,4.5,83,70.8
568,Student_568,4.9,85,
569,Student_569,9.1,51,52.8
570,Student_570,4.1,64,42.0
571,Student_571,5.6,83,58.2
572,Student_572,8.1,85,79.2
573,Student_573,4.6,55,96.3
574,Student_574,6.6,88,92.3
575,Student_575,8.8,91,86.0
576,Student_576,9.5,100,87.3
577,Student_577,2.3,100,
578,Student_578,9.3,61,55.6
579,Student_579,5.4,52,94.4
580,Student_580,3.3,94,80.2
581,Student_581,5.1,67,73.6
582,Student_582,9.8,89,46.7
583,Student_583,5.4,70,66.8
584,Student_584,4.0,64,67.6
585,Student_585,6.7,82,91.9
586,Student_586,3.2,84,72.8
587,Student_587,1.7,75,62.8
588,Student_588,2.2,57,98.6
589,Student_589,2.2,85,46.6
590,Student_590,2.4,97,65.4
591,Student_591,2.2,79,42.5
592,Student_592,6.8,72,84.4
593,Student_593,2.6,91,95.1
594,Student_594,4.1,93,56.8
595,Student_595,9.1,63,91.5
596,Student_596,5.3,63,57.5
597,Student_597,7.0,51,94.6
598,Student_598,2.6,86,85.2
599,Student_599,2.7,54,88.3
600,Student_600,1.4,87,41.1
601,Student_601,2.5,94,97.8
602,Student_602,3.5,90,83.6
603,Student_603,2.6,96,58.3
604,Student_604,1.8,63,89.8
605,Student_605,2.1,88,56.9
606,Student_606,5.1,74,92.4
607,Student_607,2.9,69,46.8
608,Student_608,4.3,51,82.2
609,Student_609,5.5,88,72.4
610,Student_610,7.2,55,45.8
611,Student_611,1.4,66,54.5
612,Student_612,8.2,74,
613,Student_613,6.7,77,68.1
614,Student_614,1.7,51,58.1
615,Student_615,8.9,84,75.9
616,Student_616,9.3,86,57.8
617,Student_617,1.5,54,58.0
618,Student_618,3.5,50,84.6
619,Student_619,8.3,89,
620,Student_620,7.7,61,94.2
621,Student_621,2.7,85,91.1
622,Student_622,2.9,94,80.1
623,Student_623,4.3,72,75.6
624,Student_624,5.4,96,
625,Student_625,6.6,80,51.1
626,Student_626,4.3,60,44.7
627,Student_627,5.2,59,54.4
628,Student_628,7.7,52,87.7
629,Student_629,1.3,63,42.1
630,Student_630,3.3,65,75.0
631,Student_631,7.4,59,99.7
632,Student_632,9.1,78,
633,Student_633,5.6,59,
634,Student_634,5.8,61,43.8
635,Student_635,2.0,79,89.9
636,Student_636,5.0,90,75.9
637,Student_637,5.8,50,46.9
638,Student_638,3.2,54,45.6
639,Student_639,3.4,69,94.6
640,Student_640,4.4,57,80.2
641,Student_641,1.2,92,89.8
642,Student_642,3.9,61,92.7
643,Student_643,2.9,50,74.3
644,Student_644,3.9,69,71.0
645,Student_645,2.1,77,65.8
646,Student_646,9.0,92,59.0
647,Student_647,6.3,86,66.1
648,Student_648,7.1,96,86.4
649,Student_649,8.1,86,76.1
650,Student_650,5.5,61,93.6
651,Student_651,1.8,86,
652,Student_652,5.8,98,76.4
653,Student_653,6.3,98,77.9
654,Student_654,7.7,93,75.5
655,Student_655,4.9,77,82.2
656,Student_656,2.1,96,54.2
657,Student_657,3.6,64,70.7
658,Student_658,4.3,55,46.3
659,Student_659,6.8,93,
660,Student_660,6.1,69,69.3
661,Student_661,4.2,99,79.1
662,Student_662,9.9,63,97.0
663,Student_663,6.5,51,76.0
664,Student_664,3.1,58,84.6
665,Student_665,1.9,86,70.4
666,Student_666,2.4,69,78.0
667,Student_667,3.2,75,44.3
668,Student_668,2.4,78,
669,Student_669,2.7,50,61.7
670,Student_670,3.6,84,68.3
671,Student_671,2.6,55,42.7
672,Student_672,9.1,86,48.4
673,Student_673,1.7,54,56.6
674,Student_674,5.7,82,
675,Student_675,4.7,98,59.9
676,Student_676,9.8,100,68.9
677,Student_677,2.0,63,51.8
678,Student_678,4.6,61,76.6
679,Student_679,9.7,91,56.8
680,Student_680,8.8,69,52.4
681,Student_681,8.4,99,71.0
682,Student_682,3.3,73,40.3
683,Student_683,2.5,92,40.5
684,Student_684,7.0,83,53.1
685,Student_685,9.4,74,42.2
686,Student_686,6.0,99,46.5
687,Student_687,6.1,78,60.3
688,Student_688,3.5,88,88.2
689,Student_689,7.9,80,74.3
690,Student_690,2.7,96,70.8
691,Student_691,3.9,92,
692,Student_692,4.8,99,95.9
693,Student_693,5.6,72,63.8
694,Student_694,3.2,93,45.2
695,Student_695,2.0,87,77.0
696,Student_696,6.5,69,46.8
697,Student_697,3.6,72,60.7
698,Student_698,6.2,94,
699,Student_699,2.4,65,92.5
700,Student_700,5.3,99,69.6
701,Student_701,5.8,91,82.1
702,Student_702,1.5,57,99.6
703,Student_703,4.0,99,47.9
704,Student_704,2.2,70,56.5
705,Student_705,1.6,50,63.7
706,Student_706,9.9,57,65.3
707,Student_707,3.9,78,64.7
708,Student_708,8.3,81,94.5
709,Student_709,3.3,87,82.8
710,Student_710,7.1,54,76.5
711,Student_711,7.8,96,58.6
712,Student_712,6.4,71,89.4
713,Student_713,5.2,96,97.3
714,Student_714,4.7,83,89.3
715,Student_715,4.1,50,40.1
716,Student_716,9.4,75,78.2
717,Student_717,8.5,92,43.1
718,Student_718,9.7,59,55.5
719,Student_719,2.1,79,43.6
720,Student_720,7.6,99,76.2
721,Student_721,9.4,67,81.2
722,Student_722,2.6,66,46.9
723,Student_723,1.6,75,63.0
724,Student_724,7.7,57,67.4
725,Student_725,6.2,96,
726,Student_726,8.6,89,47.3
727,Student_727,2.3,98,65.1
728,Student_728,8.2,61,85.1
729,Student_729,2.8,76,
730,Student_730,2.5,57,44.8
731,Student_731,2.5,74,61.3
732,Student_732,8.3,95,96.5
733,Student_733,7.0,53,80.1
734,Student_734,5.7,82,80.7
735,Student_735,4.2,50,61.7
736,Student_736,8.9,68,75.6
737,Student_737,4.5,80,40.6
738,Student_738,8.3,65,78.2
739,Student_739,5.0,63,94.8
740,Student_740,4.4,97,76.8
741,Student_741,5.2,54,92.4
742,Student_742,3.7,90,83.4
743,Student_743,7.7,75,47.2
744,Student_744,5.5,77,94.1
745,Student_745,3.1,51,44.0
746,Student_746,9.1,99,72.0
747,Student_747,4.5,55,48.5
748,Student_748,5.9,58,40.7
749,Student_749,9.2,82,65.3
750,Student_750,6.6,90,57.7
751,Student_751,2.1,74,69.2
752,Student_752,9.5,97,74.6
753,Student_753,6.6,62,42.6
754,Student_754,4.0,58,47.4
755,Student_755,2.3,62,73.5
756,Student_756,8.1,80,60.6
757,Student_757,6.6,90,83.8
758,Student_758,5.8,60,79.1
759,Student_759,9.0,53,90.7
760,Student_760,8.1,83,81.5
761,Student_761,2.4,87,65.8
762,Student_762,3.8,95,80.4
763,Student_763,3.2,53,56.5
764,Student_764,7.7,87,58.4
765,Student_765,1.3,68,87.3
766,Student_766,6.1,55,66.8
767,Student_767,7.9,83,87.9
768,Student_768,8.9,67,89.3
769,Student_769,4.1,62,91.5
770,Student_770,8.4,90,95.0
771,Student_771,2.0,72,65.9
772,Student_772,8.6,68,59.1
773,Student_773,2.1,94,74.9
774,Student_774,4.6,60,62.3
775,Student_775,8.2,50,76.1
776,Student_776,2.3,73,82.3
777,Student_777,3.1,56,81.3
778,Student_778,7.5,74,62.5
779,Student_779,7.5,70,50.0
780,Student_780,6.8,64,65.8
781,Student_781,7.2,50,48.6
782,Student_782,5.9,61,93.4
783,Student_783,3.3,56,60.8
784,Student_784,4.1,64,49.3
785,Student_785,2.6,70,41.5
786,Student_786,9.2,68,78.7
787,Student_787,6.3,78,78.2
788,Student_788,4.6,74,60.4
789,Student_789,5.2,82,44.3
790,Student_790,9.5,98,64.6
791,Student_791,2.4,81,58.7
792,Student_792,6.3,98,80.6
793,Student_793,5.6,84,76.3
794,Student_794,6.5,93,61.9
795,Student_795,1.2,87,53.1
796,Student_796,8.8,75,99.3
797,Student_797,9.4,60,67.2
798,Student_798,6.1,84,81.3
799,Student_799,7.3,57,48.4
800,Student_800,9.3,95,69.1
801,Student_801,7.4,63,41.7
802,Student_802,2.4,59,70.3
803,Student_803,6.2,51,97.8
804,Student_804,6.5,95,63.1
805,Student_805,4.8,58,42.3
806,Student_806,7.6,52,41.9
807,Student_807,9.4,70,63.3
808,Student_808,9.3,75,49.6
809,Student_809,5.1,57,41.4
810,Student_810,2.0,97,85.4
811,Student_811,9.9,51,67.5
812,Student_812,8.6,55,57.4
813,Student_813,2.1,77,94.0
814,Student_814,9.3,78,47.0
815,Student_815,8.8,75,97.4
816,Student_816,5.7,74,58.8
817,Student_817,6.3,61,93.3
818,Student_818,4.6,54,76.2
819,Student_819,1.5,83,
820,Student_820,4.0,97,99.0
821,Student_821,8.2,86,57.3
822,Student_822,1.0,64,97.7
823,Student_823,4.0,93,63.4
824,Student_824,4.6,85,63.1
825,Student_825,5.8,64,60.4
826,Student_826,9.3,92,72.5
827,Student_827,4.1,97,49.2
